Category,Mountain,Alt,User Rating,Ascents,URL,Latitude,Longitude
Munros,Ben Nevis,1345.0,3.97,28223,https://www.walkhighlands.co.uk/munros/ben-nevis,56.7969455,-5.0036945
Munros,Ben Macdui,1309.0,3.87,18165,https://www.walkhighlands.co.uk/munros/ben-macdui,57.070437,-3.66912
Munros,Braeriach,1296.0,4.28,10342,https://www.walkhighlands.co.uk/munros/braeriach,57.0782949,-3.7287124
Munros,Cairn Toul,1291.0,4.12,8788,https://www.walkhighlands.co.uk/munros/cairn-toul,57.0545117,-3.7108084
Munros,Sgòr an Lochain Uaine,1258.0,4.06,8409,https://www.walkhighlands.co.uk/munros/sgor-an-lochain-uaine,57.0583302,-3.7257213
Munros,Cairn Gorm,1245.0,3.06,21275,https://www.walkhighlands.co.uk/munros/cairn-gorm,57.1166048,-3.6439483
Munros,Aonach Beag (Nevis Range),1234.0,3.77,7387,https://www.walkhighlands.co.uk/munros/aonach-beag-nevis-range,56.8000611,-4.9542918
Munros,Aonach Mòr,1221.0,3.37,8108,https://www.walkhighlands.co.uk/munros/aonach-mor,56.8130251,-4.9617973
Munros,Càrn Mòr Dearg,1220.0,4.24,11165,https://www.walkhighlands.co.uk/munros/carn-mor-dearg,56.805346,-4.9866384
Munros,Ben Lawers,1214.0,3.92,26329,https://www.walkhighlands.co.uk/munros/ben-lawers,56.544916,-4.2207949
Munros,Beinn a' Bhùird,1197.0,3.71,6695,https://www.walkhighlands.co.uk/munros/beinn-a-bhuird,57.0876537,-3.4993939
Munros,Càrn Eige,1183.0,3.75,4474,https://www.walkhighlands.co.uk/munros/carn-eige,57.2877855,-5.1151532
Munros,Beinn Mheadhoin,1182.0,4.3,7926,https://www.walkhighlands.co.uk/munros/beinn-mheadhoin,57.0959019,-3.6115092
Munros,Màm Sodhail,1181.0,3.62,4643,https://www.walkhighlands.co.uk/munros/mam-sodhail,57.2798687,-5.1204087
Munros,Stob Choire Claurigh,1177.0,3.69,6464,https://www.walkhighlands.co.uk/munros/stob-choire-claurigh,56.8240012,-4.8499147
Munros,Ben More,1174.0,3.79,16585,https://www.walkhighlands.co.uk/munros/ben-more,56.3859754,-4.5402148
Munros,Ben Avon,1171.0,4.08,6530,https://www.walkhighlands.co.uk/munros/ben-avon,57.0993266,-3.4345036
Munros,Stob Binnein,1165.0,4.01,15284,https://www.walkhighlands.co.uk/munros/stob-binnein,56.370748,-4.5359361
Munros,Beinn Bhrotain,1157.0,3.44,5708,https://www.walkhighlands.co.uk/munros/beinn-bhrotain,57.0099403,-3.7237461
Munros,Lochnagar,1156.0,4.35,18585,https://www.walkhighlands.co.uk/munros/lochnagar,56.9603353,-3.2452417
Munros,Derry Cairngorm,1155.0,3.37,9066,https://www.walkhighlands.co.uk/munros/derry-cairngorm,57.0629513,-3.6220177
Munros,Sgùrr nan Ceathreamhnan,1151.0,4.48,3657,https://www.walkhighlands.co.uk/munros/sgurr-nan-ceathreamhnan,57.2549647,-5.2227678
Munros,Sgùrr na Lapaich,1150.0,4.0,4107,https://www.walkhighlands.co.uk/munros/sgurr-na-lapaich,57.3693128,-5.0602948
Munros,Bidean nam Bian,1150.0,4.58,12878,https://www.walkhighlands.co.uk/munros/bidean-nam-bian,56.6428682,-5.0295132
Munros,Ben Alder,1148.0,4.23,5311,https://www.walkhighlands.co.uk/munros/ben-alder,56.8138805,-4.4651098
Munros,Geal-chàrn (Alder),1132.0,3.44,4902,https://www.walkhighlands.co.uk/munros/geal-charn-alder,56.8378726,-4.5097258
Munros,Binnein Mòr,1130.0,4.18,7615,https://www.walkhighlands.co.uk/munros/binnein-mor,56.7544868,-4.92598
Munros,Ben Lui,1130.0,4.14,14099,https://www.walkhighlands.co.uk/munros/ben-lui,56.39708,-4.810686
Munros,An Riabhachan,1129.0,3.69,3776,https://www.walkhighlands.co.uk/munros/an-riabhachan,57.3624913,-5.1047979
Munros,Creag Meagaidh,1128.0,4.1,9801,https://www.walkhighlands.co.uk/munros/creag-meagaidh,56.9521401,-4.6021594
Munros,Ben Cruachan,1126.0,4.4,12053,https://www.walkhighlands.co.uk/munros/ben-cruachan,56.4268737,-5.1318517
Munros,Meall Garbh (Ben Lawers),1123.0,3.25,14579,https://www.walkhighlands.co.uk/munros/meall-garbh-ben-lawers,56.5651477,-4.2083911
Munros,Càrn nan Gabhar,1121.0,3.89,12178,https://www.walkhighlands.co.uk/munros/carn-nan-gabhar,56.8399345,-3.688128
Munros,A' Chralaig,1120.0,3.68,5698,https://www.walkhighlands.co.uk/munros/a-chralaig,57.1842886,-5.1549699
Munros,Sgòr Gaoith,1118.0,4.01,12936,https://www.walkhighlands.co.uk/munros/sgor-gaoith,57.0686776,-3.8111209
Munros,An Stùc,1117.0,4.06,14041,https://www.walkhighlands.co.uk/munros/an-stuc,56.5602791,-4.2160934
Munros,Stob Coire an Laoigh,1116.0,3.6,6256,https://www.walkhighlands.co.uk/munros/stob-coire-an-laoigh,56.8109632,-4.8850469
Munros,Aonach Beag (Alder),1116.0,3.52,4834,https://www.walkhighlands.co.uk/munros/aonach-beag-alder,56.8334954,-4.5291555
Munros,Stob Coire Easain,1115.0,3.78,7023,https://www.walkhighlands.co.uk/munros/stob-coire-easain,56.8182168,-4.7738247
Munros,Monadh Mòr,1113.0,2.88,5675,https://www.walkhighlands.co.uk/munros/monadh-mor,57.026951,-3.7500851
Munros,Tom a' Chòinich,1112.0,3.49,6055,https://www.walkhighlands.co.uk/munros/tom-a-choinich,57.2995829,-5.0490043
Munros,Sgùrr Mòr,1110.0,3.97,5543,https://www.walkhighlands.co.uk/munros/sgurr-mor,57.7001156,-5.0169702
Munros,Càrn a' Choire Bhòidheach,1110.0,2.44,13357,https://www.walkhighlands.co.uk/munros/carn-a-choire-bhoidheach,56.9458509,-3.2727118
Munros,Sgùrr nan Conbhairean,1109.0,3.9,6671,https://www.walkhighlands.co.uk/munros/sgurr-nan-conbhairean,57.1777049,-5.0954674
Munros,Meall a' Bhùiridh,1108.0,3.15,11051,https://www.walkhighlands.co.uk/munros/meall-a-bhuiridh,56.6123617,-4.8522128
